ACC_NUCCORE,Host_BIOSAMPLE,IsolationSource_BIOSAMPLE,sample_class
NZ_CP038651.1,Homosapiens,blood,Human
NZ_CP038650.1,Homosapiens,blood,Human
NZ_CP038649.1,Homosapiens,blood,Human
NZ_CP038648.1,Homosapiens,blood,Human
NZ_CP038647.1,Homosapiens,blood,Human
NZ_CP038646.1,Homosapiens,blood,Human
NZ_CP038645.1,Homosapiens,blood,Human
NZ_CP038503.1,Homo sapiens,blood,Human
NZ_CP038502.1,Homo sapiens,blood,Human
NZ_CP038501.1,Homo sapiens,blood,Human
NZ_CP038011.1,Homo sapiens (respiratory patient),,Human
NZ_CP038010.1,Homo sapiens (respiratory patient),,Human
NZ_CP037425.1,water,water,Env.
NZ_CP028139.1,Parthenium argentatum Gray (guayule shrubs),aerobic microbial decomposition of whole and defoliated guayule (retting),Env.
NZ_CP031446.1,Homo sapiens,"right leg muscle, right leg fascia, central venous catheter, dialysis catheter, surface of the left leg ulcer, and left lower leg",Human
NZ_CP031445.1,Homo sapiens,"right leg muscle, right leg fascia, central venous catheter, dialysis catheter, surface of the left leg ulcer, and left lower leg",Human
NZ_CP035050.1,Homo sapiens,,Human
NZ_CP035048.1,Homo sapiens,,Human
NZ_CP035047.1,Homo sapiens,,Human
NZ_CP035046.1,Homo sapiens,,Human
NZ_CP035053.1,Homo sapiens,,Human
NZ_CP035052.1,Homo sapiens,,Human
NZ_CP034097.1,Homo sapiens,sputum,Human
NZ_CP034096.1,Homo sapiens,sputum,Human
NZ_CP034095.1,Homo sapiens,sputum,Human
NZ_CP034094.1,Homo sapiens,sputum,Human
NZ_CP034093.1,Homo sapiens,sputum,Human
NZ_CP027220.1,Homo sapiens,stool,Human
NZ_CP027327.1,Homo sapiens,,Human
NZ_CP027326.1,Homo sapiens,,Human
NZ_CP027549.1,Homo sapiens,stool,Human
NZ_CP027223.1,Homo sapiens,stool,Human
NZ_CP027222.1,Homo sapiens,stool,Human
NZ_CP027324.1,Homo sapiens,stool,Human
NZ_CP027453.1,Homo sapiens,stool,Human
NZ_CP027339.1,Homo sapiens,stool,Human
NZ_CP027370.1,Homo sapiens,stool,Human
NZ_CP027369.1,Homo sapiens,stool,Human
NZ_CP027341.1,Homo sapiens,stool,Human
NZ_CP027446.1,Homo sapiens,stool,Human
NZ_CP027451.1,Homo sapiens,stool,Human
NZ_CP027450.1,Homo sapiens,stool,Human
NZ_CP026494.1,Homo sapiens,faecal sample,Human
NZ_CP026493.1,Homo sapiens,faecal sample,Human
NZ_CP026492.1,Homo sapiens,faecal sample,Human
NZ_CP019456.1,Homo sapiens,fecal sample,Human
NZ_CP026728.1,Homo sapiens,feces,Human
NZ_CP026727.1,Homo sapiens,feces,Human
NZ_CP026726.1,Homo sapiens,feces,Human
NZ_CP026725.1,Homo sapiens,feces,Human
NZ_CP026724.1,Homo sapiens,feces,Human
NZ_CP014112.1,Homo sapiens,urine,Human
NZ_CP014110.1,Homo sapiens,urine,Human
NZ_CP014109.1,Homo sapiens,urine,Human
NZ_CP024977.1,the intestine membrane of a diarrheic piglet,the intestine membrane of a diarrheic piglet,Animal
NZ_CP024976.1,the intestine membrane of a diarrheic piglet,the intestine membrane of a diarrheic piglet,Animal
NZ_CP024975.1,the intestine membrane of a diarrheic piglet,the intestine membrane of a diarrheic piglet,Animal
NZ_CP025752.1,intestine membrane of a diarrheic piglet,intestine membrane of a diarrheic piglet,Animal
NZ_CP025751.1,intestine membrane of a diarrheic piglet,intestine membrane of a diarrheic piglet,Animal
NZ_CP026201.1,Homo sapiens,,Human
NZ_CP026200.1,Homo sapiens,,Human
NZ_CP025626.1,Homo sapiens,,Human
NZ_CP025625.1,Homo sapiens,,Human
NZ_CP024130.1,clinical patient,clinical patient,Human
NZ_CP024129.1,clinical patient,clinical patient,Human
NZ_CP024128.1,clinical patient,clinical patient,Human
NZ_CP024140.1,clinical patient,clinical patient,Human
NZ_CP024139.1,clinical patient,clinical patient,Human
NZ_CP024137.1,clinical patient,clinical patient,Human
NZ_CP024136.1,clinical patient,clinical patient,Human
NZ_CP024135.1,clinical patient,clinical patient,Human
NZ_CP024617.1,cattle,cattle,Animal
NZ_CP024616.1,cattle,cattle,Animal
NZ_CP024615.1,cattle,cattle,Animal
NZ_CP024055.1,cattle,cattle,Animal
NZ_CP024054.1,cattle,cattle,Animal
NZ_CP024053.1,cattle,cattle,Animal
NZ_CP023675.1,cattle,cattle,Animal
NZ_CP023674.1,cattle,cattle,Animal
NZ_CP022281.1,Marmota,,Animal
NZ_CP022280.1,Marmota,,Animal
NZ_CP019076.1,Homo sapiens,Rectal Swab,Human
NZ_CP019075.1,Homo sapiens,Rectal Swab,Human
NZ_CP019074.1,Homo sapiens,Rectal Swab,Human
NZ_CP019073.1,Homo sapiens,Rectal Swab,Human
NZ_CP019072.1,Homo sapiens,Rectal Swab,Human
NZ_CP019055.1,Homo sapiens,Rectal Swab,Human
NZ_CP019054.1,Homo sapiens,Rectal Swab,Human
NZ_CP019053.1,Homo sapiens,Rectal Swab,Human
NZ_CP019052.1,Homo sapiens,Rectal Swab,Human
NZ_CP024133.1,clinical patient,clinical patient,Human
NZ_CP024132.1,clinical patient,clinical patient,Human
NZ_CP024154.1,clinical patient,clinical patient,Human
NZ_CP024153.1,clinical patient,clinical patient,Human
NZ_CP024152.1,clinical patient,clinical patient,Human
NZ_CP024151.1,clinical patient,clinical patient,Human
NZ_CP024150.1,clinical patient,clinical patient,Human
NZ_CP024149.1,clinical patient,clinical patient,Human
NZ_CP024148.1,clinical patient,clinical patient,Human
NZ_CP024146.1,clinical patient,clinical patient,Human
NZ_CP024145.1,clinical patient,clinical patient,Human
NZ_CP024144.1,clinical patient,clinical patient,Human
NZ_CP024143.1,clinical patient,clinical patient,Human
NZ_CP024142.1,clinical patient,clinical patient,Human
NZ_CP025253.1,Homo sapiens,urine,Human
NZ_CP025252.1,Homo sapiens,urine,Human
NZ_CP025403.1,Homo sapiens,Respiratory secretions,Human
NZ_CP025402.1,Homo sapiens,Respiratory secretions,Human
NZ_CP025329.1,Duck,Whole blood of a duck with colibacillosis,Animal
NZ_CP022408.1,Flour,Flour,Env.
NZ_CP024806.1,Homo sapiens,liver,Human
NZ_CP024805.1,Homo sapiens,liver,Human
NZ_CP024804.1,Homo sapiens,liver,Human
NZ_CP024803.1,Homo sapiens,liver,Human
NZ_CP024802.1,Homo sapiens,liver,Human
NZ_CP024833.1,Homo sapiens,urine,Human
NZ_CP024832.1,Homo sapiens,urine,Human
NZ_CP024831.1,Homo sapiens,urine,Human
NZ_CP024825.1,Homo sapiens,Peritoneal fluid,Human
NZ_CP024824.1,Homo sapiens,Peritoneal fluid,Human
NZ_CP024823.1,Homo sapiens,Peritoneal fluid,Human
NZ_CP024822.1,Homo sapiens,Peritoneal fluid,Human
NZ_CP024818.1,Homo sapiens,urine,Human
NZ_CP024817.1,Homo sapiens,urine,Human
NZ_CP024816.1,Homo sapiens,urine,Human
NZ_CP024829.1,Homo sapiens,Rectal swab,Human
NZ_CP024828.1,Homo sapiens,Rectal swab,Human
NZ_CP024827.1,Homo sapiens,Rectal swab,Human
NZ_CP023552.1,Homo sapiens,Human Stool,Human
NZ_CP024719.1,Bos mutus,,Animal
NZ_CP024718.1,Bos mutus,,Animal
NZ_CP024722.1,Bos mutus,,Animal
NZ_CP024721.1,Bos mutus,,Animal
NZ_CP024481.1,Homo sapiens,stool,Human
NZ_CP024480.1,Homo sapiens,stool,Human
NZ_CP024255.1,"Feces, human","Feces, human",Human
NZ_CP024254.1,"Feces, human","Feces, human",Human
NZ_CP024292.1,Homo sapiens,stool,Human
NZ_CP024291.1,Homo sapiens,stool,Human
NZ_CP024290.1,Homo sapiens,stool,Human
NZ_CP024281.1,Infant diarrheic stool,Infant diarrheic stool,Human
NZ_CP024280.1,Infant diarrheic stool,Infant diarrheic stool,Human
NZ_CP024279.1,Infant diarrheic stool,Infant diarrheic stool,Human
NZ_CP015246.1,pig feces,pig feces,Animal
NZ_CP015245.1,pig feces,pig feces,Animal
NZ_CP023905.1,Homo sapiens,rectal,Human
NZ_CP023904.1,Homo sapiens,rectal,Human
NZ_CP023903.1,Homo sapiens,rectal,Human
NZ_CP023902.1,Homo sapiens,rectal,Human
NZ_CP023901.1,Homo sapiens,rectal,Human
NZ_CP023900.1,Homo sapiens,rectal,Human
NZ_CP023898.1,Homo sapiens,rectal,Human
NZ_CP023897.1,Homo sapiens,rectal,Human
NZ_CP023896.1,Homo sapiens,rectal,Human
NZ_CP023895.1,Homo sapiens,rectal,Human
NZ_CP023961.1,Homo sapiens,urine,Human
NZ_CP023959.1,Homo sapiens,urine,Human
NZ_CP023958.1,Homo sapiens,urine,Human
NZ_CP023957.1,Homo sapiens,urine,Human
NZ_CP023816.1,wild bird,,Animal
NZ_CP019358.1,Homo sapiens,urine,Human
NZ_CP019357.1,Homo sapiens,urine,Human
NZ_CP019356.1,Homo sapiens,urine,Human
NZ_CP033867.1,Homo sapiens,UCC isolate,Human
NZ_CP033872.1,Homo sapiens,cerebrospinal fluid,Human
NZ_CP033871.1,Homo sapiens,cerebrospinal fluid,Human
NZ_CP033870.1,Homo sapiens,cerebrospinal fluid,Human
NZ_CP033770.1,Homo sapiens,sputum,Human
NZ_CP033769.1,Homo sapiens,sputum,Human
NZ_CP033753.1,Homo sapiens,clinical isolate,Human
NZ_CP033752.1,Homo sapiens,clinical isolate,Human
NZ_CP033751.1,Homo sapiens,clinical isolate,Human
NZ_CP033860.1,Homo sapiens,UCC isolate,Human
NZ_CP033859.1,Homo sapiens,UCC isolate,Human
NZ_CP033857.1,Homo sapiens,UCC isolate,Human
NZ_CP033864.1,Homo sapiens,UCC isolate,Human
NZ_CP033863.1,Homo sapiens,UCC isolate,Human
NZ_CP033132.1,Sewage,Sewage,Env.
NZ_CP033131.1,Sewage,Sewage,Env.
NZ_CP033130.1,Sewage,Sewage,Env.
NZ_CP033129.1,Sewage,Sewage,Env.
NZ_CP033128.1,Sewage,Sewage,Env.
NZ_CP033127.1,Sewage,Sewage,Env.
NZ_CP033126.1,Sewage,Sewage,Env.
NZ_CP033125.1,Sewage,Sewage,Env.
NZ_CP033124.1,Sewage,Sewage,Env.
NZ_CP033123.1,Sewage,Sewage,Env.
NZ_CP033122.1,Sewage,Sewage,Env.
NZ_CP033121.1,Sewage,Sewage,Env.
NZ_CP033120.1,Sewage,Sewage,Env.
NZ_CP033119.1,Sewage,Sewage,Env.
NZ_CP033118.1,Sewage,Sewage,Env.
NZ_CP032285.1,Sewage,Sewage,Env.
NZ_CP032284.1,Sewage,Sewage,Env.
NZ_CP032283.1,Sewage,Sewage,Env.
NZ_CP032282.1,Sewage,Sewage,Env.
NZ_CP032281.1,Sewage,Sewage,Env.
NZ_CP032280.1,Sewage,Sewage,Env.
NZ_CP032278.1,hospital sewage,hospital sewage,Env.
NZ_CP032277.1,hospital sewage,hospital sewage,Env.
NZ_CP032276.1,hospital sewage,hospital sewage,Env.
NZ_CP032275.1,hospital sewage,hospital sewage,Env.
NZ_CP032274.1,hospital sewage,hospital sewage,Env.
NZ_CP032273.1,hospital sewage,hospital sewage,Env.
NZ_CP032272.1,hospital sewage,hospital sewage,Env.
NZ_CP032271.1,hospital sewage,hospital sewage,Env.
NZ_CP032270.1,hospital sewage,hospital sewage,Env.
NZ_CP032269.1,hospital sewage,hospital sewage,Env.
NZ_CP032268.1,hospital sewage,hospital sewage,Env.
NZ_CP032267.1,hospital sewage,hospital sewage,Env.
NZ_CP023035.1,Homo sapiens,wound,Human
NZ_CP023021.1,Homo sapiens,blood,Human
NZ_CP023025.1,Homo sapiens,Bronchial fluid,Human
NZ_CP023024.1,Homo sapiens,Bronchial fluid,Human
NZ_CP023023.1,Homo sapiens,Bronchial fluid,Human
NZ_CP023033.1,Homo sapiens,blood,Human
NZ_CP023032.1,Homo sapiens,blood,Human
NZ_CP022285.1,Homo sapiens,bronchoalveolar lavage fluid,Human
NZ_CP022284.1,Homo sapiens,bronchoalveolar lavage fluid,Human
NZ_CP026340.1,Homo sapiens,feces,Human
NZ_CP026339.1,Homo sapiens,feces,Human
NZ_CP030109.1,Homo sapiens,Tracheal secretion,Human
NZ_CP030108.1,Homo sapiens,Tracheal secretion,Human
NZ_CP030107.1,Homo sapiens,Tracheal secretion,Human
NZ_CP030084.1,Homo sapiens,,Human
NZ_CP019218.1,Homo sapiens,sputum,Human
NZ_CP028560.1,Sewage,Sewage,Env.
NZ_CP028559.1,Sewage,Sewage,Env.
NZ_CP028558.1,Sewage,Sewage,Env.
NZ_CP028557.1,Sewage,Sewage,Env.
NZ_CP028556.1,Sewage,Sewage,Env.
NZ_CP029573.1,Homo sapiens,,Human
NZ_CP029572.1,Homo sapiens,,Human
NZ_CP029571.1,Homo sapiens,,Human
NZ_CP029570.1,Homo sapiens,,Human
NZ_CP026617.1,hospital sewage,hospital sewage,Env.
NZ_CP025267.1,Homo sapiens,"Blood, Central line",Human
NZ_CP018261.1,Homo sapiens,blood,Human
NZ_CP024125.1,Homo sapiens,wound,Human
NZ_CP024578.1,Ovis aries,sheep brocho-alveolar lavage,Animal
NZ_CP024577.1,Ovis aries,sheep brocho-alveolar lavage,Animal
NZ_CP024012.1,white stork,pellet,Animal
NZ_CP018334.1,Homo sapiens,sputum,Human
NZ_CP018333.1,Homo sapiens,sputum,Human
NZ_CP023542.1,Homo sapiens,stool,Human
NZ_CP023534.1,Homo sapiens,human,Human
NZ_CP023533.1,Homo sapiens,human,Human
NZ_CP023532.1,Homo sapiens,human,Human
NZ_CP023530.1,Homo sapiens,stool,Human
NZ_AP017616.1,Sus scrofa,,Animal
NZ_AP017615.1,Sus scrofa,,Animal
NZ_AP017614.1,Sus scrofa,,Animal
NZ_AP017613.1,Sus scrofa,,Animal
NZ_AP017612.1,Sus scrofa,,Animal
NZ_AP017611.1,Sus scrofa,,Animal
NZ_AP017619.1,Bos taurus,,Animal
NZ_AP017618.1,Bos taurus,,Animal
NZ_AP017622.1,Bos taurus,,Animal
NZ_AP017621.1,Bos taurus,,Animal
NZ_CP023376.1,canine,,Animal
NZ_CP023375.1,canine,,Animal
NZ_CP023374.1,canine,,Animal
NZ_CP023373.1,canine,,Animal
NZ_CP023372.1,canine,,Animal
NZ_CP023389.1,canine,,Animal
NZ_CP023387.1,canine,,Animal
NZ_CP023385.1,canine,,Animal
NZ_CP023384.1,canine,,Animal
NZ_CP023370.1,canine,,Animal
NZ_CP023369.1,canine,,Animal
NZ_CP023368.1,canine,,Animal
NZ_CP023367.1,canine,,Animal
NZ_CP023365.1,canine,,Animal
NZ_CP023363.1,canine,,Animal
NZ_CP023382.1,canine,,Animal
NZ_CP023381.1,canine,,Animal
NZ_CP023380.1,canine,,Animal
NZ_CP023379.1,canine,,Animal
NZ_CP023378.1,canine,,Animal
NZ_CP023358.1,canine,,Animal
NZ_CP023356.1,canine,,Animal
NZ_CP023355.1,canine,,Animal
NZ_CP023354.1,canine,,Animal
NZ_CP023362.1,canine,,Animal
NZ_CP023361.1,canine,,Animal
NZ_CP023360.1,canine,,Animal
NZ_CP023348.1,Homo sapiens,Diarrheal stool,Human
NZ_CP023347.1,Homo sapiens,Diarrheal stool,Human
NZ_CP023352.1,Homo sapiens,Diarrheal stool,Human
NZ_CP023351.1,Homo sapiens,Diarrheal stool,Human
NZ_CP023350.1,Homo sapiens,Diarrheal stool,Human
NZ_CP021289.1,Homo sapiens,,Human
NZ_CP022914.1,Homo sapiens,stool,Human
NZ_CP022913.1,Homo sapiens,stool,Human
NZ_CP015847.2,Bos taurus,,Animal
NZ_CP015845.2,Bos taurus,,Animal
NZ_CP015844.2,Bos taurus,,Animal
NZ_CP018626.1,Homo sapiens,stool,Human
NZ_CP018625.1,Homo sapiens,stool,Human
NZ_CP011916.1,Gallus gallus domesticus,peritoneal cavity,Animal
NZ_CP022167.1,Homo sapiens,urine,Human
NZ_CP022166.1,Homo sapiens,urine,Human
NZ_CP022165.1,Homo sapiens,urine,Human
NZ_CP022159.1,wastewater,wastewater,Env.
NZ_CP022158.1,wastewater,wastewater,Env.
NZ_CP022157.1,wastewater,wastewater,Env.
NZ_CP022156.1,wastewater,wastewater,Env.
NZ_CP022155.1,wastewater,wastewater,Env.
NZ_CP021847.1,Homo sapiens,urine; urinary tract infection,Human
NZ_CP021846.1,Homo sapiens,urine; urinary tract infection,Human
NZ_CP021845.1,Homo sapiens,urine; urinary tract infection,Human
NZ_CP021843.1,Homo sapiens,urine; urinary tract infection,Human
NZ_CP021842.1,Homo sapiens,urine; urinary tract infection,Human
NZ_CP021841.1,Homo sapiens,urine; urinary tract infection,Human
NZ_CP019561.1,porcine,porcine,Animal
NZ_CP019559.1,porcine,porcine,Animal
NZ_CP021180.1,Homo sapiens,urine,Human
NZ_LT838199.1,clinical isolate,clinical isolate,Human
NZ_LT838198.1,clinical isolate,clinical isolate,Human
NZ_LT838197.1,clinical isolate,clinical isolate,Human
NZ_CP020582.1,Homo sapiens,sputum,Human
NZ_CP019019.1,Homo sapiens,,Human
NZ_CP019018.1,Homo sapiens,,Human
NZ_CP019017.1,Homo sapiens,,Human
NZ_CP019016.1,Homo sapiens,,Human
NZ_CP019014.1,Homo sapiens,,Human
NZ_CP019013.1,Homo sapiens,,Human
NZ_CP019007.1,Homo sapiens,,Human
NZ_CP019006.1,Homo sapiens,,Human
NZ_CP018994.1,Homo sapiens,,Human
NZ_CP018993.1,Homo sapiens,,Human
NZ_CP018992.1,Homo sapiens,,Human
NZ_CP018964.1,Homo sapiens,,Human
NZ_CP018963.1,Homo sapiens,,Human
NZ_CP018999.1,Homo sapiens,,Human
NZ_CP018998.1,Homo sapiens,,Human
NZ_CP018997.1,Homo sapiens,,Human
NZ_CP018996.1,Homo sapiens,,Human
NZ_CP018982.1,Homo sapiens,,Human
NZ_CP018981.1,Homo sapiens,,Human
NZ_CP018980.1,Homo sapiens,,Human
NZ_CP018978.1,Homo sapiens,,Human
NZ_CP018977.1,Homo sapiens,,Human
NZ_CP018952.1,Homo sapiens,,Human
NZ_CP018951.1,Homo sapiens,,Human
NZ_CP018950.1,Homo sapiens,,Human
NZ_CP018949.1,Homo sapiens,,Human
NZ_CP019028.1,Homo sapiens,,Human
NZ_CP019027.1,Homo sapiens,,Human
NZ_CP019026.1,Homo sapiens,,Human
NZ_CP019025.1,Homo sapiens,,Human
NZ_CP019024.1,Homo sapiens,,Human
NZ_CP019023.1,Homo sapiens,,Human
NZ_CP019022.1,Homo sapiens,,Human
NZ_CP019021.1,Homo sapiens,,Human
NZ_CP019004.1,Homo sapiens,,Human
NZ_CP019003.1,Homo sapiens,,Human
NZ_CP019002.1,Homo sapiens,,Human
NZ_CP019001.1,Homo sapiens,,Human
NZ_CP018975.1,Homo sapiens,,Human
NZ_CP018974.1,Homo sapiens,,Human
NZ_CP018973.1,Homo sapiens,,Human
NZ_CP018972.1,Homo sapiens,,Human
NZ_CP018971.1,Homo sapiens,,Human
NZ_CP018947.1,Homo sapiens,,Human
NZ_CP018946.1,Homo sapiens,,Human
NZ_CP018945.1,Homo sapiens,,Human
NZ_CP018944.1,Homo sapiens,,Human
NZ_CP018943.1,Homo sapiens,,Human
NZ_CP018942.1,Homo sapiens,,Human
NZ_CP018941.1,Homo sapiens,,Human
NZ_CP018940.1,Homo sapiens,,Human
NZ_CP019011.1,Homo sapiens,,Human
NZ_CP019010.1,Homo sapiens,,Human
NZ_CP019009.1,Homo sapiens,,Human
NZ_CP018990.1,Homo sapiens,,Human
NZ_CP018989.1,Homo sapiens,,Human
NZ_CP018988.1,Homo sapiens,,Human
NZ_CP018987.1,Homo sapiens,,Human
NZ_CP018986.1,Homo sapiens,,Human
NZ_CP018985.1,Homo sapiens,,Human
NZ_CP018984.1,Homo sapiens,,Human
NZ_CP018956.1,Homo sapiens,,Human
NZ_CP018955.1,Homo sapiens,,Human
NZ_CP018954.1,Homo sapiens,,Human
NZ_CP019910.1,Homo sapiens,human,Human
NZ_CP019909.1,Homo sapiens,human,Human
NZ_CP019908.1,Homo sapiens,human,Human
NZ_CP019907.1,Homo sapiens,human,Human
NZ_CP019906.1,Homo sapiens,human,Human
NZ_CP019905.1,Homo sapiens,human,Human
NZ_CP019904.1,Homo sapiens,human,Human
NZ_CP010156.1,dog,,Animal
NZ_CP010155.1,dog,,Animal
NZ_CP010154.1,dog,,Animal
NZ_CP010153.1,dog,,Animal
NZ_CP010190.1,mouse,,Animal
NZ_CP010189.1,mouse,,Animal
NZ_CP010188.1,mouse,,Animal
NZ_CP010187.1,mouse,,Animal
NZ_CP010142.1,dog,,Animal
NZ_CP010141.1,dog,,Animal
NZ_CP010139.1,dog,,Animal
NZ_CP010138.1,dog,,Animal
NZ_CP010195.1,mouse,,Animal
NZ_CP010194.1,mouse,,Animal
NZ_CP010193.1,mouse,,Animal
NZ_CP010192.1,mouse,,Animal
NZ_CP010185.1,mouse,,Animal
NZ_CP010184.1,mouse,,Animal
NZ_CP010199.1,mouse,,Animal
NZ_CP010198.1,mouse,,Animal
NZ_CP010197.1,mouse,,Animal
NZ_CP010220.1,mouse,,Animal
NZ_CP010225.1,mouse,,Animal
NZ_CP010224.1,mouse,,Animal
NZ_CP010223.1,mouse,,Animal
NZ_CP010222.1,mouse,,Animal
NZ_CP010182.1,mouse,,Animal
NZ_CP010181.1,mouse,,Animal
NZ_CP010241.1,cow,,Animal
NZ_CP010147.1,dog,,Animal
NZ_CP010146.1,dog,,Animal
NZ_CP010118.1,cow,,Animal
NZ_CP010159.1,dog,,Animal
NZ_CP010158.1,dog,,Animal
NZ_CP015086.1,Homo sapiens,"Hera General Hopsital, patient",Human
NZ_CP021177.1,Homo sapiens,urine,Human
NZ_CP021176.1,Homo sapiens,urine,Human
NZ_CP021210.1,Homo sapiens,blood,Human
NZ_CP021209.1,Homo sapiens,blood,Human
NZ_CP021208.1,Homo sapiens,blood,Human
NZ_CP021206.1,Homo sapiens,blood,Human
NZ_CP021205.1,Homo sapiens,blood,Human
NZ_CP021204.1,Homo sapiens,blood,Human
NZ_CP021203.1,Homo sapiens,blood,Human
NZ_CP018969.1,Homo sapiens,,Human
NZ_CP018968.1,Homo sapiens,,Human
NZ_CP018967.1,Homo sapiens,,Human
NZ_CP018966.1,Homo sapiens,,Human
NZ_CP017633.1,Homo sapiens,feces,Human
NZ_CP017632.1,Homo sapiens,feces,Human
NZ_CP010128.1,cow,,Animal
NZ_CP010127.1,cow,,Animal
NZ_CP010126.1,cow,,Animal
NZ_CP010227.1,mouse,,Animal
NZ_CP010124.1,cow,,Animal
NZ_CP010123.1,cow,,Animal
NZ_CP010149.1,dog,,Animal
NZ_CP010120.1,cow,,Animal
NZ_CP010136.1,dog,,Animal
NZ_CP010135.1,dog,,Animal
NZ_CP010131.1,cow,,Animal
NZ_CP010130.1,cow,,Animal
NZ_CP010144.1,dog,,Animal
NZ_CP018240.1,human,human,Human
NZ_CP018242.1,human,human,Human
NZ_CP018248.1,Cattle faeces,Cattle faeces,Animal
NZ_CP018244.1,human,human,Human
NZ_CP018208.1,Homo sapiens,clinical,Human
NZ_CP018207.1,Homo sapiens,clinical,Human
NZ_CP018246.1,human,human,Human
NZ_CP018238.1,human,human,Human
NZ_CP018251.1,Cattle faeces,Cattle faeces,Animal
NZ_CP017848.1,Homo sapiens,feces,Human
NZ_CP017847.1,Homo sapiens,feces,Human
NZ_CP017846.1,Homo sapiens,feces,Human
NZ_CP017845.1,Homo sapiens,feces,Human
NZ_CP018108.1,Homo sapiens,clinical,Human
NZ_CP018107.1,Homo sapiens,clinical,Human
NZ_CP018106.1,Homo sapiens,clinical,Human
NZ_CP018105.1,Homo sapiens,clinical,Human
NZ_CP018104.1,Homo sapiens,clinical,Human
NZ_CP018124.1,Homo sapiens,clinical,Human
NZ_CP018113.1,Homo sapiens,clinical,Human
NZ_CP018110.1,Homo sapiens,clinical,Human
NZ_CP018116.1,Homo sapiens,clinical,Human
NZ_CP017439.1,Cattle Hide,Cattle Hide,Animal
NZ_CP017445.1,Cattle Hide,Cattle Hide,Animal
NZ_CP017441.1,Cattle Hide,Cattle Hide,Animal
NZ_CP017435.1,Cattle Hide,Cattle Hide,Animal
NZ_CP017443.1,Cattle Hide,Cattle Hide,Animal
NZ_CP017447.1,Cattle Hide,Cattle Hide,Animal
NZ_CP017437.1,Cattle Hide,Cattle Hide,Animal
NZ_CP013194.1,Homo sapiens,Human Stool,Human
NZ_CP013193.1,Homo sapiens,Human Stool,Human
NZ_CP013192.1,Homo sapiens,Human Stool,Human
NZ_CP013191.1,Homo sapiens,Human Stool,Human
NZ_CP016405.1,swine,cecum,Animal
NZ_CP015838.1,Homo sapiens,urine,Human
NZ_CP015837.1,Homo sapiens,urine,Human
NZ_CP015836.1,Homo sapiens,urine,Human
NZ_CP015835.1,Homo sapiens,urine,Human
NZ_CP012493.1,Homo sapiens,,Human
NZ_CP012492.1,Homo sapiens,,Human
NZ_CP012491.1,Homo sapiens,,Human
NZ_CP016626.1,Bos taurus,,Animal
NZ_CP016551.1,Homo sapiens,feces,Human
NZ_CP016550.1,Homo sapiens,feces,Human
NZ_CP016549.1,Homo sapiens,feces,Human
NZ_CP016548.1,Homo sapiens,feces,Human
NZ_CP016547.1,Homo sapiens,feces,Human
NZ_CP016498.1,Homo sapiens,urine,Human
NZ_CP015917.1,swine cecum,swine cecum,Animal
NZ_CP015916.1,swine cecum,swine cecum,Animal
NZ_CP015915.1,swine cecum,swine cecum,Animal
NZ_CP015914.1,swine cecum,swine cecum,Animal
NZ_CP015913.1,swine cecum,swine cecum,Animal
NZ_CP012501.1,Homo sapiens,bagged lettuce,Human
NZ_CP016009.1,Mus musculus,gut flora of female BALB/c mice (Charles River Laboratories),Animal
NZ_CP016008.1,Mus musculus,gut flora of female BALB/c mice (Charles River Laboratories),Animal
NZ_CP015997.1,poultry meat,poultry meat,Env.
NZ_CP015996.1,poultry meat,poultry meat,Env.
NZ_CP015833.1,Homo sapiens,fecal sample,Human
NZ_CP015816.1,Bos taurus,,Animal
NZ_CP015239.1,Homo sapiens,stool,Human
NZ_CP015242.1,Homo sapiens,stool,Human
NZ_CP015073.1,Homo sapiens,,Human
NZ_CP015072.1,Homo sapiens,,Human
NZ_CP015071.1,Homo sapiens,,Human
NZ_CP015070.1,Homo sapiens,,Human
NZ_CP015078.1,Homo sapiens,,Human
NZ_CP015077.1,Homo sapiens,,Human
NZ_CP015144.1,Homo sapiens,,Human
NZ_CP015143.1,Homo sapiens,,Human
NZ_CP015142.1,Homo sapiens,,Human
NZ_CP015141.1,Homo sapiens,,Human
NZ_CP015140.1,Homo sapiens,,Human
NZ_CP015139.1,Homo sapiens,,Human
NZ_CP015021.1,Bovine carcass,Bovine carcass,Animal
NZ_CP015022.1,Apple cider,Apple cider,Env.
NZ_CP014321.1,Homo sapiens,,Human
NZ_CP014320.1,Homo sapiens,,Human
NZ_CP014319.1,Homo sapiens,,Human
NZ_CP014318.1,Homo sapiens,,Human
NZ_CP014317.1,Homo sapiens,,Human
NZ_CP014524.1,Homo sapiens,,Human
NZ_CP014523.1,Homo sapiens,,Human
NZ_CP014496.1,Homo sapiens,,Human
NZ_CP014491.1,Homo sapiens,,Human
NZ_CP014490.1,Homo sapiens,,Human
NZ_CP014489.1,Homo sapiens,,Human
NZ_CP014498.1,Homo sapiens,,Human
NZ_CP012630.1,Homo sapiens,patient blood,Human
NZ_CP012629.1,Homo sapiens,patient blood,Human
NZ_CP012628.1,Homo sapiens,patient blood,Human
NZ_CP012627.1,Homo sapiens,patient blood,Human
NZ_CP012626.1,Homo sapiens,patient blood,Human
NZ_CP012634.1,Homo sapiens,patient blood,Human
NZ_CP008721.1,Homo sapiens,Pleural Effusion,Human
NZ_CP008720.1,Homo sapiens,Pleural Effusion,Human
